Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Copied),Outward issue link (Duplicate),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (ACM Type),Custom field (Acceptance Criteria),Custom field (Actual End Time),Custom field (Actual Start  Time),Custom field (Affected Areas),Custom field (BizOps Approvers),Custom field (Business Justification),Custom field (Change Type),Custom field (Change completion date),Custom field (Change description),Custom field (Change description),Custom field (Change description),Custom field (Change description),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Contact Number),Custom field (Critical Business Process),Customer Request Type,Custom field (Database & Journal cleanup),Custom field (Days Since Last Comment),Custom field (Delivery Due Date),Custom field (Deployment Success),Custom field (Duty Manager Approvers),Custom field (Duty Manager Approvers),Custom field (Duty Manager Approvers),Custom field (Duty Manager Approvers),Custom field (Duty Manager Approvers),Custom field (EPEX Project),Custom field (End Time),Custom field (Epic Link),Custom field (Estimate),Custom field (Fix Description),Custom field (Flagged),Custom field (HUPX Project),Custom field (Hosting Services Coordinator),Custom field (ICCC Invitation),Custom field (Impact),Custom field (Impact),Custom field (Impact Assessment),Custom field (Implementation Steps),Custom field (Introduction Factor),Custom field (Investigation reason),Custom field (Issue Detection Factor),Custom field (Issue Time),Custom field (M7 User),Custom field (M7A Change Description),Custom field (Merge Request Config),Custom field (Merge Request SQL),Custom field (Mitigation),Custom field (Onboarding details),Custom field (Operational categorization),Custom field (Owner),Custom field (PIR (Post Implementation Review)),Custom field (PO / ACM Approvers),Custom field (Pending reason),Custom field (Period),Custom field (Phase),Custom field (Price (excl. VAT)),Custom field (Probability),Custom field (Product Categorization),Custom field (Project Impact),Custom field (Purchasing Type),Custom field (RAID Response),Custom field (RAID type),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Reason for failed deployment),Custom field (Release Notes),Custom field (Release Notes),Custom field (Release Notes),Custom field (Release Notes),Custom field (Reproducible),Custom field (Request Category),Custom field (Request participants),Custom field (Requirement ID),Custom field (Rollback Plan),Custom field (Root Cause Detail),Custom field (Root Cause Detail),Custom field (Root Cause Detail),Custom field (Root Cause Detail),Custom field (Root cause),Custom field (SAP Change),Custom field (SAP Record),Satisfaction score (out of 5),Custom field (Severity),Custom field (Shift Start Date),Custom field (Shift Type),Custom field (Source),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Time),Custom field (Steps to reproduce),Custom field (Steps to reproduce),Custom field (Steps to reproduce),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Team),Custom field (TechOps Customer),Custom field (TechOps Service Catalogue),Custom field (Test Coverage),Custom field (Test Instructions),Custom field (Test Result),Time Spent in Progress,Time Spent in Progress simplified,Time to approve normal change,Time to approve normal change simplified,Time to close after resolution,Time to close after resolution simplified,Time to first response,Time to first response simplified,Time to resolution,Time to resolution simplified,Custom field (Urgency),Custom field (Urgency),Custom field (Waiting on),Custom field (Workaround),Custom field (XBID Environment),Custom field (XSOP Project),Custom field (Zephyr Teststep),Custom field ([Environment]),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Prepare for the CPM workshop HOT,XP-4376,105467,Task,Done,XP,XBID Agile Development,software,dm700,Agile XBID delivery ,,Minor,Done,,ei349,ei349,20/Jan/21 10:17,02/Feb/21 10:33,22/Feb/21 13:21,02/Feb/21 10:33,,,Cross Product Matching ASR,,,,,,,,,,,,ei349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sw455,,,,,N/A,,,,,,,,,,2851200,,,dm700,lw641,ox626,rehapav,sw455,,,XP-3930,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,"1|y0cfxq:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,HOT Sprint 26,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepare for the CPM workshop Alpha,XP-4375,105466,Task,Done,XP,XBID Agile Development,software,dm700,Agile XBID delivery ,,Minor,Done,,ei349,ei349,20/Jan/21 10:17,01/Feb/21 10:03,22/Feb/21 13:21,01/Feb/21 10:03,,,Cross Product Matching ASR,,,,,,,,,,,,ei349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sw455,,,,,N/A,,,,,,,,,,2851200,,,dm700,lw641,ox626,rehapav,sw455,,,XP-3930,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,"1|y0cbsz:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,Alpha Sprint 26 (S),,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove H2 2020 ACER reports from the sftp server after 20/01/2021,XP-4353,105209,Task,Done,XP,XBID Agile Development,software,dm700,Agile XBID delivery ,,Minor,Done,hw120,qm925,qm925,14/Jan/21 12:47,20/Jan/21 14:40,22/Feb/21 13:21,20/Jan/21 14:40,,,,,,,,,22/Jan/21 00:00,TechOps,,,Remove H2 2020 ACER reports from the sftp server after *20/01/2021*,,hw120,qm925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP-4332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sw455,,,,,,,,,,,,,,,2764800,,,dm700,lw641,ox626,rehapav,sw455,,,XP-4092,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,"1|000xro:000c09i000000000000000e0002",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,Xbops Sprint 26,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20/Jan/21 14:14;hw120;{code}
[root@xbprodcbn1 data01]# for px in cropex epex gme hupx np omie opcom ote tge bsp; do rm -f /opt/data01/xbid_${px}_prod/OUT/acer/acer_2020_h2.zip; done
[root@xbprodcbn1 data01]# for px in cropex epex gme hupx np omie opcom ote tge bsp; do ls -la /opt/data01/xbid_${px}_prod/OUT/acer; done
ls: cannot access /opt/data01/xbid_cropex_prod/OUT/acer: No such file or directory
total 8
drwxr-xr-x 2 101012 101012 4096 Jan 20 14:13 .
drwxr-xr-x 7 101012 101012 4096 Jul 13  2020 ..
total 8
drwxr-xr-x 2 101013 101013 4096 Jan 20 14:13 .
drwxr-xr-x 7 101013 101013 4096 Jul 13  2020 ..
total 8
drwxr-xr-x 2 101027 101027 4096 Jan 20 14:13 .
drwxr-xr-x 7 101027 101027 4096 Jul 13  2020 ..
total 8
drwxr-xr-x 2 101014 101014 4096 Jan 20 14:13 .
drwxr-xr-x 7 101014 101014 4096 Jul 13  2020 ..
total 8
drwxr-xr-x 2 101015 101015 4096 Jan 20 14:13 .
drwxr-xr-x 7 101015 101015 4096 Jul 13  2020 ..
total 8
drwxr-xr-x 2 101029 101029 4096 Jan 20 14:13 .
drwxr-xr-x 7 101029 101029 4096 Jul 13  2020 ..
total 8
drwxr-xr-x 2 101024 101024 4096 Jan 20 14:13 .
drwxr-xr-x 7 101024 101024 4096 Jul 13  2020 ..
total 8
drwxr-xr-x 2 101026 101026 4096 Jan 20 14:13 .
drwxr-xr-x 7 101026 101026 4096 Jul 13  2020 ..
total 8
drwxr-xr-x 2 101018 101018 4096 Jan 20 14:13 .
drwxr-xr-x 7 101018 101018 4096 Jan 12 15:42 ..
{code}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provide Acer reports for H2/2020,XP-4307,104767,Task,Done,XP,XBID Agile Development,software,dm700,Agile XBID delivery ,,Critical,Done,tr866,ei349,ei349,06/Jan/21 10:24,12/Jan/21 17:06,22/Feb/21 13:21,12/Jan/21 17:06,,,3.1.x,,,,,,,waiting-techops,,,"Check the Acer reports, perform sanity check (all data, no bugs), provide to the SFTP. ",,ei349,ll664,tr866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP-4332,,,,,,,"11/Jan/21 11:46;tr866;Imported Reports to Excel.zip;https://jira.deutsche-boerse.com/secure/attachment/91589/Imported+Reports+to+Excel.zip","11/Jan/21 11:40;tr866;acer_2020_h2.zip;https://jira.deutsche-boerse.com/secure/attachment/91588/acer_2020_h2.zip","06/Jan/21 16:08;ll664;acer_2020_h2.zip;https://jira.deutsche-boerse.com/secure/attachment/91487/acer_2020_h2.zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sw455,,,,,,,,,,,,,,,3456000,,,dm700,lw641,ox626,rehapav,sw455,,,XP-4092,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,"1|000y0l:8o",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,Alpha Sprint 25,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/Jan/21 16:08;ll664;Reports attached, [~tr866] pls do sanity check.","07/Jan/21 15:58;tr866;Notes from testing:
 in case the archive from the jira will be used as is:
 - (!) don't include the files fore June, month 06 in the archive. The files were sent in H1 already
 - (!) remove 2020-10_TRADE_VOLUME_HOUR_TO_DELIVERY_2020-11-01-081500.zip

Reports checked for:
 # 
h4. EIC Check (/)
(previously problems with wrong mapping to EIC codes)
 the german MA EIC codes and the EIC that were expected to not be there were checked visually in the imported files and in Windows PowerShell with the following command:
{code:java}
Get-ChildItem -Recurse | Select-String -Pattern ""10YMA-ONE------O"" | group path | select name
{code}
 ## German MA 10Y1001A1001A82H EIC are used
 ## 10YDE-ENBW-----N EIC not found
 ## 10YDE-EON------1 EIC not found
 ## 10YDE-RWENET---I EIC not found
 ## 10YMA-ONE------O EIC not found
 # 
h4. Volumes check (/)
 ** INTRADAY_TRADE_VOLUME
 ** TRADE_VOLUME_HOUR_TO_DELIVERY
 ## values for volumes for *Quarterly product X03* should have 5 decimals and at least some should have a digit *5* at the position of the *3rd decimal*
 ## values for volumes for *Half-Hourly product X02* should have 5 decimals and at least some should have have a digit *5* at the position of the *2nd decimal*, but at latter positions only 0 digits
 ## values for volumes for products *Hourly X01* and *User Defined Blocks X04* should have 5 decimals and at least some should have not all 0 at the position of the *1st decimal*, but at latter positions only 0 digits
 # 
h4. OMIE (DA with EIC 10YES-REE------0) (/)
is having records for *X04 block product* only in Bid Ask Spread report even thought OMIE doesn't have block orders enabled. It was concluded before that it's correct because even if OMIE doesn't have block orders enabled such quantities are still visible for the trader in the Order Book.
 # 
h4. Products X02(Half Hourly) and X03(Quarter Hourly) (?)
check if record for the products are also present only for the expected bidding zones:
 ## X02: DE (10Y1001A1001A82H), FR (10YFR-RTE------C)
 (!) records for X02 product found unexpectedly also in all {color:#ff8b00}*December*{color} reports for countries {color:#ff8b00}*10YBE----------2*{color} and {color:#ff8b00}*10YNL----------L*{color} (in WEIGHTED_AVERAGE_PRICE_LAST_TRADING_HOUR only Belgium)
 ## X03: DE (10Y1001A1001A82H) , AT (10YAT-APG----L) , SI (10YSI-ELES----O)
 (!) records for X03 product found unexpectedly also in all {color:#ff8b00}*December*{color} reports for countries {color:#ff8b00}*10YBE----------2*{color}, {color:#ff8b00}*10YNL----------L*{color} and {color:#ff8b00}*10YHU-MAVIR----U*{color}
 # 
h4. EICs of the last joining bidding zones in 2nd wave appear in all reports for all months (/)
 -- 10YCA-BULGARIA-R
 -- 10YCZ-CEPS-----N
 -- 10YHR-HEP------M
 -- 10YHU-MAVIR----U
 -- 10YPL-AREA-----S
 -- 10YRO-TEL------P
 -- 10YSI-ELES-----O
 # 
h4. Name spaces (/)
Check if all reports for all months are having declared all namespaces as *ns1:*","08/Jan/21 15:23;tr866;h2. Summary: 
 # (!) if archive from this ticket will be used, following files have to be removed(30 files will remain):
 ## 2020-06_BID_ASK_SPREAD_2020-07-01-053000.xml
 ## 2020-06_INTRADAY_TRADE_VOLUME_2020-07-01-070000.xml
 ## 2020-06_TRADE_VOLUME_HOUR_TO_DELIVERY_2020-07-01-081500.xml
 ## 2020-06_WEIGHTED_AVERAGE_PRICE_2020-07-01-083000.xml
 ## 2020-06_WEIGHTED_AVERAGE_PRICE_LAST_TRADING_HOUR_2020-07-01-084500.xml
 ## 2020-10_TRADE_VOLUME_HOUR_TO_DELIVERY_2020-11-01-081500.zip
# (/) The only new Changes that were in question:
## X02 - Half-Hourly - newly assigned to BE, NL from 10th December 2020
## X03 - Quarterly - newly assigned to BE, NL, HU from 10th December 2020
are related to changes described in following press release
https://www.amprion.net/Presse/Presse-Detailseite_29056.html","12/Jan/21 15:36;tr866;Sanity check completed, obsolete files removed from archive.","12/Jan/21 17:04;tr866;Files uploaded to SFTP.",,,,,,,,,,,,,,,,,,,,,,,,,,,
CPM - 1:n Trade Recording - Shipping Module,XP-4303,104740,Task,Done,XP,XBID Agile Development,software,dm700,Agile XBID delivery ,,Critical,Done,jy268,radeale,radeale,05/Jan/21 16:45,27/Jan/21 16:42,22/Feb/21 13:21,19/Jan/21 09:15,,,Cross Product Matching ASR,,Shipping,,,,,,,,"Please consider high-level changes necessary to be performed in the area of the *Shipping Module* (SM, SPM) because of the customer-requested trade recording 1:n as detailed in this comment in XBID-5205.
The example is also attached here as a [PDF document.|https://jira.deutsche-boerse.com/secure/attachment/91473/Example%20TradeCaptureRprt.pdf]

The current state of the code analysis is stored here, feel free to use it and/or update it:
 * https://github.deutsche-boerse.de/dev/xbid/wiki/CPM-Shipping-Module-Analysis

The aim is to be prepared for the upcoming _teleconference workshop_ with the customers (most likely to take place in 11/1 - 22/1).

The current WIP documentation for the CPM is [located here|https://projects.deutsche-boerse.de/sites/ps0080/Shared%20Documents/04%20XBID%20Legal%20Framework/01%20XBID%20Contracts%20and%20Change%20Requests/03_XBID%20Additional%20Service%20Requests/ASR018%20-%20Cross-Product%20Matching].

Related previous ticket(s):
https://jira.deutsche-boerse.com/browse/XP-3933",,radeale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sw455,,,,,,,,,,,,,,,2678400,,,dm700,lw641,ox626,rehapav,sw455,,,XP-3930,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,"1|y0c4g3:zo2",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,HOT Sprint 25 (S),,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21/Jan/21 14:34;radeale;The output is here:

[Link|https://github.deutsche-boerse.de/dev/xbid/wiki/CPM-Shipping-Module-Analysis-(option-1-N)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPM - 1:n Trade Recording - ACER and AM Reporting,XP-4302,104738,Task,Done,XP,XBID Agile Development,software,dm700,Agile XBID delivery ,,Minor,Done,eh941,radeale,radeale,05/Jan/21 16:25,14/Jan/21 13:42,22/Feb/21 13:21,14/Jan/21 13:42,,,Cross Product Matching ASR,,AM Indicators Reporting,Trading,,,,,,,"Please consider high-level changes necessary to be performed in the areas of the *ACER Reporting* and the *AM Indicators* because of the customer-requested trade recording 1:n as detailed in this comment in XBID-5205.
The example is also attached here as a [PDF document.|https://jira.deutsche-boerse.com/secure/attachment/91473/Example%20TradeCaptureRprt.pdf]

The current state of the code analysis is stored here, feel free to use it and/or update it:
 * https://github.deutsche-boerse.de/dev/xbid/wiki/CPM-report-analysis

The aim is to be prepared for the upcoming _teleconference workshop_ with the customers (most likely to take place in 11/1 - 22/1).

The current WIP documentation for the CPM is [located here|https://projects.deutsche-boerse.de/sites/ps0080/Shared%20Documents/04%20XBID%20Legal%20Framework/01%20XBID%20Contracts%20and%20Change%20Requests/03_XBID%20Additional%20Service%20Requests/ASR018%20-%20Cross-Product%20Matching].

Related previous ticket(s):
https://jira.deutsche-boerse.com/browse/XP-4061",,radeale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sw455,,,,,,,,,,,,,,,4060800,,,dm700,lw641,ox626,rehapav,sw455,,,XP-3930,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,"1|000y0l:8w",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,Alpha Sprint 25,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CPM - 1:n Trade Recording - SOB Changes (API, Reports)",XP-4301,104737,Task,Done,XP,XBID Agile Development,software,dm700,Agile XBID delivery ,,Minor,Done,uv683,radeale,radeale,05/Jan/21 16:19,29/Jan/21 22:16,22/Feb/21 13:21,14/Jan/21 13:37,,,Cross Product Matching ASR,,,,,,,,,,"Please consider high-level changes necessary to be performed in the areas of the *SOB API* and the *SOB Reporting* because of the customer-requested trade recording 1:n as detailed in this comment in XBID-5205.
 The example is also attached here as a PDF document.

The current state of the code analysis is stored here, feel free to use it and/or update it:
* https://github.deutsche-boerse.de/dev/xbid/wiki/CPM-trading-api-changes
* https://github.deutsche-boerse.de/dev/xbid/wiki/CPM-other-open-issues

The aim is to be prepared for the upcoming _teleconference workshop_ with the customers (most likely to take place in 11/1 - 22/1).

The current WIP documentation for the CPM is [located here|https://projects.deutsche-boerse.de/sites/ps0080/Shared%20Documents/04%20XBID%20Legal%20Framework/01%20XBID%20Contracts%20and%20Change%20Requests/03_XBID%20Additional%20Service%20Requests/ASR018%20-%20Cross-Product%20Matching].

Related previous ticket(s):
https://jira.deutsche-boerse.com/browse/XP-3932",,radeale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBID-5426,,,,,,,"05/Jan/21 16:14;radeale;Example TradeCaptureRprt.pdf;https://jira.deutsche-boerse.com/secure/attachment/91473/Example+TradeCaptureRprt.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sw455,,,,,,,,,,,,,,,4060800,,,dm700,lw641,ox626,rehapav,sw455,,,XP-3930,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,"1|000y0l:8s",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,Alpha Sprint 25,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Description of Single Intra-Day Coupling Algorithm - last comments to be checked,XP-4252,104264,Task,Done,XP,XBID Agile Development,software,dm700,Agile XBID delivery ,,Minor,Done,th409,qm925,qm925,11/Dec/20 14:47,13/Jan/21 09:48,22/Feb/21 13:21,13/Jan/21 09:48,3.1.x,,3.1.x,,,,,,,Waiting-Internal,,,"Review sections 3.4 and 2.5 in the attached document called “new”.

Also, in the document called ""compare"" the changes made in the new document are visible compared to the old document.

Is the content of Section 3.4 and 2.5 in the new document accurate?",,ek176,qm925,th409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/Dec/20 14:47;qm925;Compare.pdf;https://jira.deutsche-boerse.com/secure/attachment/91087/Compare.pdf","11/Dec/20 14:47;qm925;new.docx;https://jira.deutsche-boerse.com/secure/attachment/91086/new.docx","11/Dec/20 14:47;qm925;old.docx;https://jira.deutsche-boerse.com/secure/attachment/91085/old.docx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sw455,,,,,,,,,,,,,,,3456000,,,dm700,lw641,ox626,rehapav,sw455,,,XP-4090,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,"1|000y0l:9w",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,HOT Christmas Sprint,Alpha Sprint 25,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13/Jan/21 09:47;th409;The content is accurate, I have only one small comment, in chapter 2.5, it was agreed to use wording ""shared ramping"" instead of ""sum ramping"", however, in picture below, wording ""sum ramping"" is still used.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPM ASR - Prepare for a final handover to customers HOT,XP-4233,104142,Task,Done,XP,XBID Agile Development,software,dm700,Agile XBID delivery ,,Minor,Done,,ei349,ei349,09/Dec/20 07:52,14/Dec/20 10:37,22/Feb/21 13:21,11/Dec/20 15:41,,,Cross Product Matching ASR,,,,,,,,,,"There will be a customer workshop in the week between 14-19th December where we will discuss our findings from the ASR together with our customers. 

 

Finalize ASR topics, check the final document which will be handled to customers and prepare for a discussions about findings and open points. 

 

Main contact person is [~radeale]. ",,ei349,lt112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6220800,,,,,,,,,,XP-3930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|y0c4g3:zp",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,HOT Sprint 24 (S),,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/Dec/20 15:41;lt112;Workshop rescheduled to the next year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPM ASR - Prepare for a final handover to customers Alpha,XP-4232,104141,Task,Done,XP,XBID Agile Development,software,dm700,Agile XBID delivery ,,Minor,Done,eh941,ei349,ei349,09/Dec/20 07:49,20/Jan/21 10:48,22/Feb/21 13:21,20/Jan/21 10:48,,,Cross Product Matching ASR,,,,,,,,,,"There will be a customer workshop in the week between 14-19th December where we will discuss our findings from the ASR together with our customers. 

 

Finalize ASR topics, check the final document which will be handled to customers and prepare for a discussions about findings and open points. 

 

Main contact person is [~radeale]. ",,eh941,ei349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP-4233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sw455,,,,,,,,,,,,,,,2937600,,,dm700,lw641,ox626,rehapav,sw455,,,XP-3930,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,"1|000y0l:6i",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,Alpha Sprint 24,Alpha Christmas Sprint (S),Alpha Sprint 25,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/Jan/21 15:39;eh941;I focused on the trade capture report examples they sent from business logic point of view. I compared our current solution (branch {{cpm}}) with the suggested formats.
h3. Findings:
 * In current code we exclude orders from matching which have unmatchable price themselves but when the average price is done they can be used
 * We don't really care about matching prices for trade legs. For the aggressor the price from the order is taken as matching price which is nonsense
 * Auction prices and welfare distribution isn't handled at all

h3. Price handling suggestions
h4. Continuous trading

Each trade leg should have it's *matching price*. If it's an *aggressor* then it's the price the trader saw in the *order book* - the weighted average price. If it's a *passive* order it should be the *order's price*

Example:
 13-14 B 10@120
 13:00-13:30 S 10@100
The orders above generate in order book a shadow order 13:30-14:00 B 10@140.
 13:30-14:00 S 10@120 (aggressor)

The passive orders are matched with their prices as entered in order entries:
 Buy order is matched at price 120
 First sell order at price 100

The aggressor sees following price in the order book (formula in CPM analysis document 3.1.2 Shadow orders):
 2*120-100=140

Therefore the matching price will be 140 for the aggressor.

Cash value of trade legs should be equal:
 * Buy: 120*10=*1200*
 * Sell: 100*10/2 + 140*10/2=*1200*

h4. Auction

Each trade leg matched in the auction should have it's limit price +- distributed leftover cash value:
 Example:
 13-14 B 10@120
 13:00-13:30 S 10@100
 13:30-14:00 S 10@120

Weighted average price of virtual *sell* order 13-14 is (100+120) / 2 = 110. *Cash value is 1100*.
 *Buy* order price is 120, c*ash value 1200*. 
 Cash value difference is 1200-1100=*100*. The 100 must be *distributed* equally to *all participants* - equal part to *buy side* and *equal* part to *sell side*. Meaning:
 * Buy: Cash value 1200-100/2=1150 (only half of the extra cash value goes to buy side).  Matching price is 120-5=115
 * Sell 1: Cash value 1000+100/2/2=1050 (only half of the cash value goes to sell side and only half of that to this order since it's just 30 minutes). Matching price is 100+5=105
 * Sell 2: Cash value 1200+100/2/2=1250. Matching price is 120+5=125

The cash value of buy and sell orders is equal:
 * Buy order 115*10=*1150*
 * Sell orders 105*10/2+125*10/2=*1150*

h3. Opened questions:
 * They added {{qty}} to each trade leg. Isn't there an assumption there would be multiple quantities possible there? Meaning e.g. having 13-14 buy order qty=100 against sell 13:00-13:30 order qty=80 and sell 13:00-13:30 qty=20 and 13:30-14:00 qty=100?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
