Issue Type,Summary,Issue key,Issue id,Status,Priority,Resolution,Created,Resolved,Custom field (Actual Start  Time),Custom field (Actual End Time),Custom field (End Time),Custom field (Start Time),Custom field (Customer),Custom field (Deployment Success),Customer Request Type,Assignee,Labels,Labels,Labels
Customer Service Request,Creation of new XBID Client Certificate for CMM and SM production environment,SMXBID-2734,116413,Resolved,Minor,Done,15/Oct/21 18:02,18/Oct/21 08:01,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,"SMXBID-2672 cert renewal reques, two certs are missing",SMXBID-2733,116398,Resolved,Minor,Done,15/Oct/21 15:07,15/Oct/21 15:30,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,Jira Account locked,SMXBID-2731,116383,Resolved,Minor,Done,15/Oct/21 12:23,15/Oct/21 13:48,,,,,,,Password Reset & Account Unlock,yn731,XBID-ServiceDesk,,
Customer Service Request,SMXBID-2672 password for certs not received by sms,SMXBID-2730,116374,Resolved,Minor,Done,15/Oct/21 10:24,15/Oct/21 13:35,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,"Production env., Cert. request for SOB ADMIN User; OTE",SMXBID-2728,116359,Resolved,Minor,Done,14/Oct/21 16:00,14/Oct/21 16:10,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Problem,Cannot access deutche-borse platform,SMXBID-2727,116335,Resolved,Minor,Not a Bug,14/Oct/21 12:59,15/Oct/21 14:41,,,,,,,Report a problem or bug,ub113,XBID-ServiceDesk,,
Customer Service Request,sFTP user for CuTe PX environment not working,SMXBID-2725,116327,Resolved,Minor,Rejected,14/Oct/21 11:50,14/Oct/21 12:08,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,Service Request - SM - Certificate - EPEX (NEMO) - New user certificate,SMXBID-2724,116300,Resolved,Minor,Done,13/Oct/21 17:25,14/Oct/21 14:56,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,New certificates for 50Hertz,SMXBID-2723,116228,Resolved,Minor,Done,12/Oct/21 16:26,15/Oct/21 13:43,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Expiration of IMT account certificate,SMXBID-2722,116181,Resolved,Minor,Done,12/Oct/21 10:00,15/Oct/21 14:30,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,Renewal of digital certificates for access CMM ,SMXBID-2721,116173,Closed,Minor,Done,12/Oct/21 09:13,12/Oct/21 13:33,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,New IMT certs. for HOPS.,SMXBID-2720,116155,Closed,Minor,Done,11/Oct/21 16:21,12/Oct/21 10:05,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID Production Cert Request for SM/SOB, EMCO",SMXBID-2718,116147,Closed,Minor,Done,11/Oct/21 15:20,12/Oct/21 08:25,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,New accounts and certificate requests for JAO user,SMXBID-2717,116130,Resolved,Minor,Done,11/Oct/21 13:39,15/Oct/21 15:39,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request, certificate for XBRTE101,SMXBID-2716,116128,Resolved,Minor,Done,11/Oct/21 13:36,13/Oct/21 07:55,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Problem,XBID (PROD) SFTP public key problem for 193.29.81.177,SMXBID-2715,116115,Closed,Minor,Resolved,11/Oct/21 10:35,11/Oct/21 12:51,,,,,,,Report a problem or bug,oh856,XBID-ServiceDesk,,
Customer Service Request,New certificate,SMXBID-2712,116017,Resolved,Minor,Done,08/Oct/21 08:37,11/Oct/21 13:17,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,"XBID (PROD) Cert Request for (IMT,JIRA),(OTE)",SMXBID-2710,116011,Closed,Minor,,07/Oct/21 17:05,,,,,,,,New Account & Certificate Requests,mv635,XBID-ServiceDesk,,
