day;Local O 50p;Local O 99	5p;Local O 99	8p;Remote O 50p;Remote O 99	5p;Remote O 99	8p;Remote Rprt O 50p;Remote Rprt O 99	5p;Remote Rprt O 99
2021-07-01;16.0;229.0;  240.0;14.0;  227.0;234.0;  17.0;233.0;243.0					
2021-07-02;14.0;222.0;388.892;12.0;165.0;  227.0;13.0;  213.0;241.39					
2021-07-03;14.0;97.0;215.384;12.0;60.0;87.0;14.0;63.0;176.12					
2021-07-04;14.0;90.0;205.822;12.0;62.0;120.0;13.0;76.0;217.0					
2021-07-05;14.0;86.0;316.784;13.0;62.0;90.0;14.0;76.0;230.0					
2021-07-06;14.0;92.215;648.286;13.0;61.0;111.0;13.0;63.91;163.0					
2021-07-07;13.0;77.0;183.124;12.0;58.0;109.0;14.0;64.0;171.0					
2021-07-08;14.0;71.0;173.526;12.0;58.0;84.0;13.0;59.0;92.0					
2021-07-09;14.0;176.0;227.0;14.0;224.0;232.0;14.0;230.0;238.0					
2021-07-10;16.0;228.0;238.6;14.0;223.0;231.0;14.0;229.0;248.0					
2021-07-11;16.0;224.0;232.0;14.0;221.0;229.0;14.0;226.0;236.0					
2021-07-12;15.0;219.0;235.0;13.0;213.0;225.0;16.0;218.0;230.0					
2021-07-13;15.0;228.0;242.0;14.0;226.0;237.386;17.0;229.0;248.416					
2021-07-14;16.0;232.0;387.0;0;0;0;0;0;0					
2021-07-15;18.0;108.0;319.0;0;0;0;0;0;0					
2021-07-16;18.0;93.0;299.0;19.0;84.0;110.0;22.0;88.0;117.0					
2021-07-17;19.0;82.0;269.91;18.0;74.0;92.982;23.0;96.0;345.0					
2021-07-18;18.0;79.0;225.0;17.0;71.0;90.0;23.0;90.0;320.0					
2021-07-19;19.0;82.0;257.948;18.0;74.0;93.0;24.0;99.095;356.838					
2021-07-20;20.0;149.825;377.0;19.0;86.0;110.3;26.0;98.505;317.0					
2021-07-21;20.0;107.65;318.0;19.0;86.0;120.67;27.0;115.0;346.0					
2021-07-22;21.0;92.0;339.768;20.0;77.0;102.0;27.0;172.705;409.396					
2021-07-23;20.0;180.82;385.328;19.0;94.0;248.0;25.0;101.0;312.0					
2021-07-24;22.0;142.3;317.36;20.0;106.0;246.0;28.0;264.105;392.884					
2021-07-25;22.0;156.0;319.0;20.0;95.385;224.954;27.0;298.45;693.378					
2021-07-26;24.0;229.0;469.984;23.0;175.0;272.172;32.0;220.44;348.0					
2021-07-27;24.0;308.0;842.3;22.0;225.0;331.0;31.0;239.0;368.0					
2021-07-28;25.0;434.0;800.0;23.0;229.0;289.0;29.0;237.0;328.0					
2021-07-29;23.0;249.265;392.0;22.0;181.015;322.0;30.0;244.0;356.444					
2021-07-30;26.0;238.0;520.0;24.0;85.0;237.656;33.0;95.0;335.0					
2021-07-31;25.0;83.0;106.0;21.0;78.0;98.0;32.0;105.0;362.0
