order_exe_time_millis,trade_count
236,0
236,0
237,0
237,0
238,0
238,0
238,0
31,0
11,0
17,0
32,0
26,0
17,0
34,0
32,0
12,0
33,0
10,0
32,0
32,0
11,0
9,0
21,0
20,0
52,0
52,0
52,0
52,0
52,0
52,0
52,0
52,0
52,0
53,0
58,0
58,0
58,0
72,0
72,0
72,0
72,0
72,0
72,0
74,0
73,0
72,0
72,0
71,0
71,0
72,0
71,0
71,0
70,0
95,0
92,0
88,0
88,0
85,0
85,0
77,0
76,0
76,0
39,0
49,0
49,0
49,0
50,0
50,0
58,0
59,0
59,0
59,0
59,0
59,0
65,0
65,0
83,0
83,0
83,0
82,0
84,0
97,0
97,0
97,0
97,0
97,0
97,0
97,0
97,0
98,0
98,0
98,0
98,0
98,0
98,0
98,0
98,0
99,0
99,0
99,0
99,0
98,0
102,0
98,0
98,0
94,0
90,0
66,0
63,0
10,0
65,0
82,0
83,0
84,0
83,0
83,0
82,0
117,0
116,0
114,0
110,0
109,0
106,0
102,0
102,0
98,0
94,0
78,0
35,0
13,0
7,0
42,0
42,0
42,0
42,0
49,0
51,0
50,0
50,0
50,0
49,0
50,0
59,0
75,0
75,0
71,0
26,0
212,0
113,0
114,0
114,0
127,0
128,0
129,0
143,0
211,0
212,0
212,0
234,0
234,0
235,0
235,0
235,0
235,0
236,0
236,0
236,0
238,0
244,0
244,0
244,0
205,0
156,0
135,0
119,0
119,0
75,0
19,0
19,0
18,0
5,0
7,0
8,0
5,0
8,0
13,0
4,0
4,0
8,0
5,0
10,0
12,0
5,0
5,0
9,0
5,0
7,0
12,0
13,0
8,0
10,0
6,0
8,0
10,0
43,2
5,0
6,0
7,0
7,0
33,1
21,0
28,0
7,0
4,0
16,0
16,0
48,2
49,0
6,0
6,0
11,0
18,0
24,0
6,0
5,0
8,0
11,0
10,0
12,0
5,0
4,0
4,0
34,2
38,2
39,0
5,0
4,0
6,0
30,1
9,0
10,0
4,0
4,0
6,0
10,0
12,0
5,0
4,0
9,0
4,0
13,0
15,0
8,0
9,0
8,0
4,0
13,0
14,0
5,0
4,0
5,0
15,0
13,0
10,0
15,0
5,0
5,0
12,0
5,0
9,0
9,0
5,0
6,0
10,0
12,0
8,0
6,0
4,0
5,0
10,0
9,0
12,0
5,0
6,0
5,0
14,0
16,0
4,0
5,0
5,0
13,0
15,0
7,0
7,0
4,0
57,1
26,0
23,0
22,0
5,0
10,1
5,0
10,0
11,0
8,0
5,0
5,0
5,0
12,0
9,0
11,0
6,0
7,0
4,0
11,0
13,0
7,0
5,0
4,0
32,3
32,0
10,0
7,0
5,0
8,0
9,0
35,1
122,0
11,0
17,0
19,0
19,0
22,0
24,0
46,1
20,0
8,0
10,0
12,0
13,0
6,0
5,0
8,0
4,0
10,0
14,0
5,0
4,0
5,0
11,0
13,0
8,0
6,0
3,0
4,0
8,0
30,1
30,0
7,0
5,0
7,0
6,0
10,0
4,0
6,0
4,0
7,0
9,0
9,0
8,0
6,0
4,0
5,0
5,0
9,0
8,0
5,0
8,0
11,0
9,0
15,0
5,0
5,0
8,0
10,0
10,0
5,0
16,1
5,0
11,0
14,0
5,0
8,0
11,0
4,0
5,0
4,0
4,0
4,0
33,2
24,0
8,0
11,0
5,0
7,0
27,1
27,2
27,0
11,0
13,0
14,1
5,0
7,0
4,0
12,0
10,0
4,0
4,0
6,0
7,0
13,0
5,0
4,0
27,2
27,0
5,0
9,0
5,0
4,0
7,0
8,0
7,0
6,0
7,0
7,0
7,0
5,0
10,0
6,0
8,0
5,0
6,0
7,0
13,0
7,0
11,0
10,0
9,0
12,0
21,0
14,0
14,0
5,0
9,0
11,0
11,0
10,0
9,0
5,0
7,0
7,0
11,0
3,0
4,0
9,0
4,0
4,0
15,0
6,0
8,0
8,0
12,0
13,0
14,0
5,0
5,0
5,0
5,0
6,0
8,0
6,0
4,0
8,0
11,0
12,0
7,0
6,0
6,0
10,0
