Place;1;2;3;4;5;6;7;8;9;10
1_Shells;0;3;0;1;1;0;4;0;3;5
1_Living;0;3;1;0;1;2;4;0;3;7
1_Alluvium;0;4;1;0;0;1;2;0;1;2
1_Slope;0;4;0;0;0;1;3;0;1;0
2_Shells;2;3;0;0;1;0;3;0;1;4
2_Living;1;3;0;0;1;0;4;0;4;4
2_Alluvium;0;2;0;0;0;0;1;0;1;0
2_Slope;0;2;0;0;0;0;0;0;0;0
3_Shells;1;4;2;1;2;0;5;0;1;4
3_Living;5;5;2;0;2;0;8;1;4;6
3_Alluvium;2;4;1;0;0;0;2;0;1;1
3_Slope;4;4;0;0;0;0;2;0;0;0
4_Shells;1;4;2;0;0;0;3;1;4;8
4_Living;3;7;3;0;2;0;6;3;4;16
4_Alluvium;0;0;1;0;0;0;3;0;2;0
4_Slope;1;1;1;0;0;0;0;0;0;0
5_Shells;4;3;2;0;2;0;4;1;4;5
5_Living;6;5;4;0;3;0;6;3;5;6
5_Alluvium;2;5;2;0;0;0;3;0;1;0
5_Slope;4;3;0;0;0;0;1;0;0;0
6_Shells;6;4;3;2;3;1;7;0;2;6
6_Living;8;5;4;1;5;1;6;1;3;5
6_Alluvium;0;3;1;0;0;0;2;0;1;1
6_Slope;8;7;2;3;3;1;2;1;0;0
7_Shells;6;3;4;0;3;1;4;1;3;3
7_Living;10;3;4;3;5;1;7;4;5;4
7_Alluvium;1;5;1;0;0;0;2;0;1;0
7_Slope;3;6;1;0;0;1;1;0;0;0
