case,weighta,weightq,a049,a062,a071,a121,a124,a1661,a172,b010,b1661,b216,b260,g018,g019,c11111,c11121,c11122,c11131,c11141,c11142,c11151,c11211,c11221,c11231,c11241,c11251,c11252,c11253,c11311,c11321,c11331,c11341,c11411,c11421,c11431,c11441,c11451,c11461,c11471,c11511,c11521,c11522,c11531,c11541,c11551,c11611,c11621,c11631,c11641,c11651,c11661,c11671,c11681,c11691,c11711,c11721,c11731,c11741,c11751,c11761,c11771,c11781,c11811,c11821,c11831,c11841,c11851,c11861,c11911,c11921,c11931,c11941,c12111,c12121,c12131,c12211,c12221,c12231,c12241,c21111,c21211,c21212,c21213,c21214,c21221,c21311,c22111,c22121,c22131,cb1111,cb1112,cb1113,cb1114,cb1115,cb1116,cb111c,cb111d,cb111e,cb111f,cb111g,cb111h,cb111i,cb111j,cb1121,cb1122,cb1123,cb1124,cb1125,cb1126,cb1127,cb1128,cb112b,cb1213,c31111,c31211,c31212,c31221,c31222,c31231,c31232,c31233,c31234,c31311,c31312,c31313,c31314,c31315,c31411,c31412,c31413,c32111,c32121,c32131,c32211,c41211,c43111,c43112,c44211,c45112,c45114,c45212,c45214,c45222,c45312,c45411,c45412,c45511,c51113,c51114,c51212,c51311,c52111,c52112,c53111,c53121,c53122,c53131,c53132,c53133,c53141,c53151,c53161,c53171,c53211,c53311,c53312,c53313,c53314,c54111,c54121,c54131,c54132,c54141,c55111,c55112,c55211,c55212,c55213,c55214,c56111,c56112,c56121,c56122,c56123,c56124,c56125,c56211,c56221,c56222,c56223,c61111,c61112,c61211,c61311,c61312,c61313,c62111,c62112,c62113,c62114,c62211,c62212,c62311,c62321,c62322,c62331,c63111,c71112,c71122,c71212,c71311,c71411,c72111,c72112,c72113,c72114,c72115,c72211,c72212,c72213,c72313,c72314,c72411,c72412,c72413,c72414,c73112,c73212,c73213,c73214,c73311,c73312,c73411,c73512,c73513,c73611,c81111,c82111,c82112,c82113,c83112,c83114,c83115,c91111,c91112,c91113,c91121,c91122,c91123,c91124,c91125,c91126,c91127,c91128,c91211,c91221,c91311,c91411,c91412,c91413,c91511,c92111,c92112,c92114,c92116,c92117,c92211,c92221,c92311,c93111,c93112,c93113,c93114,c93211,c93212,c93311,c93312,c93313,c93411,c93412,c93511,c94111,c94112,c94113,c94115,c94211,c94212,c94221,c94232,c94236,c94238,c94239,c94241,c94242,c94243,c94244,c94245,c94246,c94311,c94312,c94313,c94314,c94315,c94316,c94319,c9431a,c9431b,c9431c,c9431d,c9431e,c9431f,c9431i,c95111,c95211,c95212,c95311,c95411,ca1113,ca2113,ca3113,ca4113,ca5113,cb2114,cc1111,cc1211,cc1311,cc1312,cc1313,cc1314,cc1315,cc1316,cc1317,cc3111,cc3112,cc3211,cc3221,cc3222,cc3223,cc3224,cc4111,cc4112,cc4121,cc4122,cc5213,cc5412,cc5413,cc6212,cc6214,cc7111,cc7112,cc7113,cc7114,cc7115,cc7116,ck1211,ck1313,ck1314,ck1315,ck1316,ck1411,ck2111,ck3111,ck3112,ck4111,ck4112,ck5111,ck5113,ck5115,ck5116,ck5212,ck5213,ck5214,ck5215,ck5216,ck5221,ck5222,ck5223,ck5316,a054,a056,a060,a091,a093,a094,p344,p348,p352,p396,sexhrp,a055,a190,gor,gorx,p389,year,p600,p601,p602,p603,p604,p605,p606,p607,p608,p609,p610,p611,p612,p620p,p630p,incanon,a070p,p396p,incranges,se,pt,ft,re,ue,ua,Childband,foodban,ageban
13,3.83865,15.3546,1,One woman,Highest age - all female,Local Authority rented unfurnished,0,No home computer,No internet connection,4.567307692,0,0,0,1,0,0,1.985,0,0,0.295,0,0.545,1.03,1.28,0,1.495,0,0.65,0,0,0,0,0,1.82,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0,0,0.345,0,0,0.89,0.495,0.395,0,0,0,0,0,0,0,0.495,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0.35,2.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,110 - 119.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,109.662,109.662,109.662,67,Female,February,Not recorded,North East,North East,109.662,2004,141.0373077,16.825,0,0,18.87730769,54.195,0,2,5,9.55,0,33.05,1.54,15,156.0373077,168.3837308,67,67,Low income,0,0,0,1,0,0,No children,£ 20 or less,More than 55 years
21,3.8029,15.2116,2,One man and 1 woman,Highest age - mixed sex,Owned outright,0,No home computer,No internet connection,0,0,0,0,2,0,0,0.71,5.165,0,0.5,1.5,0,0,0,1.22,2.5,0,1,0,2.99,0,0,1.69,0,4.6,0,0,0.635,0,0,0.575,0.72,0,0,0,0.395,0,0.36,1.32,0,0,0,0,0.745,0,0,0,0.125,0.2,0,1.615,0.75,0.3,0,0.825,0,2.6,0,0,0,1.25,0.545,0,0,0.85,0.595,0,1.08,0,0,14,0,0,0,0,0,0,0,0,0,21.125,0,0,0,0,0,0,0,1.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,1.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,5,2.5,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3.75,3.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.225,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,120 - 129.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,230.0215,228.584,230.0215,81,Male,December,Not recorded,North East,North East,229.734,2004,171.405,38.22,14,17.5,13.39,1.65,1.145,10.7,7.02,31.62,0,24.625,11.535,2,173.405,247.3315,80,80,Low income,0,0,0,1,0,0,No children,From £ 20 to £ 40,More than 55 years
54,3.57755,14.3102,3,1 man; 1 woman & 1c,Highest age - all male,Owned with mortgage,1,Home computer present,Internet connection in household,0,4.15,0,0,2,1,0.435,2.52,3.49,1.655,0.555,0,0.36,0,0,2.115,7.27,0.48,0,0,0,1.4,0,1.855,2.165,2.715,0,2.165,5.23,2.77,1.44,1.205,0,0,5.315,0,0,0,1.69,0,0.675,2.67,0.785,0.45,1.1,0,0.365,0.625,2.285,4.41,0,1.625,1.36,0.43,1.88,0.69,0,0,0,0,0.47,0,0.405,0,2.17,0,0,0,2.1,1.175,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,4.64,5.4,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,185.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,1.585,1.73,0.64,1.17,2.08,0,0,0,0,0,0,0,0,0.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.47,0,0,0,0,0,0,0,0.66,0,20.015,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,11.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99,0,8.995,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.195,3,0,0,0,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2.78,1.91,0,0.675,8.995,0,0,0,0,0,0,0,0,1.59,6.04,0,0,0,0,8.795,0,0,0,0,0,0,0,0,0,76.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,2,2,625 - 649.999 pw,Higher managerial,Fulltime employee,Large Employers & Higher Managerial,965.29,16.5,965.29,36,Male,July,Home Computer access to NET,North East,North East,736.36,2004,857.36,76.68,0,0,24.29,193.08,0.895,358.145,20.945,57.28,0,14.6,111.445,174.0985,1031.4585,965.29,36,36,High income,0,0,1,0,0,0,One children,More than £ 60,From 30 to 55 years
57,3.56365,14.2546,1,One woman,Highest age - all female,Local Authority rented unfurnished,0,No home computer,No internet connection,13.40384615,0,0,0,1,0,0,1.45,1.035,0,0,0,0,0.49,0,0,1.445,0,0,0,0,0,0,0,0,0.9,0,1.97,0.465,0,0,0,0.245,0,0,0,0,0,0,0.19,0,0,0.77,0,0,0,0,0.23,0,0.1,0,0.66,0.89,0,0,0,0,0,0,0,0.48,0.125,0,0,0,0,0,0,0.6,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.275,0,0,0,0,0,0,8.538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,1.325,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180 - 199.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,179.392,179.392,179.392,68,Female,July,Not recorded,North East,North East,179.392,2004,60.59230769,13.7,0,8.538461538,17.86384615,0,0,0,3.23,9.715,0,5.03,2.515,6.11,66.70230769,220.5523365,68,68,Low income,0,0,0,1,0,0,No children,£ 20 or less,More than 55 years
71,3.655075,14.6203,1,One man,Highest age - all male,Local Authority rented unfurnished,0,No home computer,No internet connection,4.46,0,0,0,1,0,0,0.38,0,0,0,0,0.66,0,0,0,0,2.96,1.42,0,0,0,0,0,1.24,0,0,0,2.53,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0.98,0,0,0,0,0,0,0,0,0,1.38,0,0,0.48,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80 - 89.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,83.642,83.642,83.642,76,Male,March,Not recorded,North East,North East,83.642,2004,27.6,14.87,0,0,11.38,0,0,0,1.35,0,0,0,0,0,27.6,132.8845,76,76,Low income,0,0,0,1,0,0,No children,£ 20 or less,More than 55 years
77,4.15815,16.6326,4,1 man; 1 woman; 2c,Highest age - all male,Owned with mortgage,0,Home computer present,Internet connection in household,0,11.67,0,28,2,2,0,0.365,2.35,0.335,0,1.19,4.035,0.345,0,0.395,0.665,0,0,0,0,0,0,1.37,0,9.4,0,3.535,0,1.59,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595,0.33,0,0,0,0.495,0,1.46,0,0,0,0,0,0,2.525,0,1.925,0,0,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0,0,12.425,0,0,0,6.35,3.9,0,2.3,0,0,2.6,0,29.3,0,0,0,0,0,0,7.875,13.225,0,0,13.35,0,0,0,72.5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.335,0,0,0,16.79769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0.44,3.015,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.225,3.09,0,0,15.12,0,5.54,0,0,0,0,0,0,0,0,0.25,0,0,0,6.46,0,0,17.25,0,0,0,0,16,0,0,0,0,0,0,5,0,0,1.65,1.69,0,0,0,0,0,0,0,3.75,0,1.79,1.31,0,0,0,6.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,2,1000 or more,Lower supervisory,Fulltime employee,Lower Supervisory & Technical,1858.947436,27.55,1423.05,47,Male,October,Home Computer access to NET,North East,North East,1358.55,2004,528.39,52.765,0,83.49,21.9,47.57769231,0,11.12,21.71,109.5973077,31.54,119.325,29.365,470.962,999.352,1858.947436,47,47,High income,0,0,1,0,0,0,Two children,From £ 40 to £ 60,From 30 to 55 years
85,3.480275,13.9211,4,1 man; 1 woman; 2c,Highest age - all female,Owned with mortgage,2,Home computer present,Internet connection in household,0,0,0,0,2,2,0,2.92,3.08,1.055,11.505,2.365,3.98,1.85,1.49,5.45,1.96,0,0,0,1.49,0,1.285,3.055,5.285,0,0,1.405,4.13,1.09,0,0,0,0,0,0,0,1.42,1.41,1.955,0.54,3.965,1.795,3.04,0,0,0.99,0.785,1.745,5.755,0,3.175,0.435,1.42,0,0,1.43,0.69,0,0,1.17,1.485,1.65,0,0,0,0,3.345,5.925,1.42,1.855,0,35.975,0,0,0,0,9.97,0,0,0,44.82,0,0,0,4.6,0,0,2.05,0,0,0,0,3.24,0,2.485,0,0,0,0,0,25.155,1.325,0,16.445,0,0,0,11.99,0,0,0,31.34,0,0,6.495,0,0,0,0,0,0,0,27.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0,0,12,0,0,0,0,2.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.21,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,6.495,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,4.965,0,0,1.965,0,0,0,0,0,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,7.415,0,3.08,0,0,0,0,0,0,23,0,0,2.74,1.24,0,0,2.475,8.56,0,0,0,0.5,0,0,0,0,0,145.33,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1000 or more,Higher professional (traditional ) - emp,Fulltime employee,Higher Professionals,1916.05,27.55,1916.05,34,Male,September,Home Computer access to NET,North East,North East,1345.54,2004,1200.545,104.37,45.945,77.32,28.51,16.51,2.585,83.33,6.25,512.46,0,100.12,223.145,166.16,1366.705,1916.05,35,34,High income,0,0,1,0,0,0,Two children,More than £ 60,From 30 to 55 years
106,3.689875,14.7595,2,Two men or two women,Highest age - all male,Rented furnished,0,No home computer,No internet connection,70,0,0,0,2,0,0,0.125,0,1.41,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0.3,1.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0,0,0,0,0,0,0,1.445,0,0,0,0,0,0,0,1.995,0,0.645,0,0,0,1.07,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,130 - 139.999 pw,Intermediate clerical and administrative,Fulltime employee,Intermediate,149.38,0,149.38,24,Male,February,Not recorded,North East,North East,115.38,2004,114.13,6.73,8.32,0,74.46,1.495,0,3.75,0,1.75,0,17.625,0,15.04,129.17,149.38,24,24,Low income,0,0,1,0,0,0,No children,£ 20 or less,Less than 30 years
124,3.103775,12.4151,2,One woman; one child,Highest age - all female,Local Authority rented unfurnished,0,Home computer present,No internet connection,59.61538462,0,0,0,1,1,0,2.27,1.21,0,1.15,1.47,0.84,9.525,0,0,0.995,0.545,0,0,0,0,0,0,0,1.22,0,0,1.815,0,0.58,0.935,0,0,0,0,0,0,0,0,0.67,0,0.495,0,0.735,0,1,0.2,0.885,1.355,0,0.27,0,0.995,0.34,0.565,1.32,0,0,0,1.565,0,1.385,0,0,0,0,0.495,1.885,0,0,0,6.68,0,0,0,0,7.375,0,0,0,3.795,0,0,0,1.55,0,0,8.075,0,0,0,0,2.15,0,0,0.175,0,0.75,0.5,0.15,8.245,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3.5,0,0,0,0,0,1.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.395,0.945,0,0,0,2.14,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,425 - 449.999 pw,Intermediate sales and service,Fulltime employee,Intermediate,434.6871795,48.7,334.45,51,Female,August,Not recorded,North East,North East,421.92,2004,199.4303846,44.18,14.055,0,73.96538462,2.49,3.41,20,7.5,2.81,0,26.14,4.88,4.23,203.6603846,446.7428526,51,51,Medium-low income,0,0,1,0,0,0,One children,From £ 40 to £ 60,From 30 to 55 years
133,2.996675,11.9867,2,One man and 1 woman,Highest age - all male,Owned with mortgage,1,Home computer present,Internet connection in household,0,0,0,0,2,0,0,0.72,0,0,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88,0,0,0,0.6,0.26,0,0,0,0,0,0,0.995,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0.24,1.145,0,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,0,0,0,10.5,0,0,0,0,0,0,0,0,7.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,101.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,300 - 319.999 pw,Semi-routine technical,Fulltime employee,Semi-Routine,407.915,170.74,379.065,62,Male,August,Home Computer access to NET,North East,North East,374.163,2004,146.055,15.795,0,4,16.63,3.25,0,4.75,11.31,53.205,0,23.98,13.135,159.29,305.345,407.915,62,62,Medium-low income,0,0,1,0,0,0,No children,£ 20 or less,More than 55 years
