region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
Zone 2,13,44,Married,9,64,College degree,5,No,Male,2,No,No,Yes,No,3.7,0,0,7.5,0,37.45,0,0,110,0,No,No,No,No,No,No,Yes,No,No,1.30833281965018, , ,2.01490302054226, ,4.15888308335967,Basic service,Yes
Zone 3,11,33,Married,7,136,Post-undergraduate degree,5,No,Male,6,Yes,No,Yes,Yes,4.4,20.75,0,15.25,35.7,42,211.45,0,125,380.35,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1.48160454092422,3.03254624667671, ,2.72457950305342,3.57515068878559,4.91265488573605,Total service,Yes
Zone 3,68,52,Married,24,116,Did not complete high school,29,No,Female,2,Yes,No,Yes,No,18.15,18,0,30.25,0,1300.6,1247.2,0,2150,0,No,No,No,No,Yes,Yes,No,Yes,No,2.89867056071086,2.89037175789616, ,3.40949618447685, ,4.75359019110636,Plus service,No
Zone 2,33,33,Unmarried,12,33,High school degree,0,No,Female,1,No,No,No,No,9.45,0,0,0,0,288.8,0,0,0,0,No,No,No,No,No,No,No,No,No,2.24601474150565, , , , ,3.49650756146648,Basic service,Yes
Zone 2,23,30,Married,9,30,Did not complete high school,2,No,Male,4,No,No,No,No,6.3,0,0,0,0,157.05,0,0,0,0,No,No,No,No,Yes,No,Yes,Yes,No,1.84054963339749, , , , ,3.40119738166216,Plus service,No
Zone 2,41,39,Unmarried,17,78,High school degree,16,No,Female,1,Yes,No,Yes,No,11.8,19.25,0,13.5,0,487.4,798.4,0,570,0,No,No,No,No,Yes,Yes,No,No,No,2.46809953147162,2.95751106073379, ,2.60268968544438, ,4.35670882668959,Plus service,No
Zone 3,45,22,Married,2,19,High school degree,4,No,Female,5,No,No,Yes,No,10.9,0,0,8.75,0,504.5,0,0,415,0,Yes,No,No,Yes,No,Yes,No,No,Yes,2.3887627892351, , ,2.16905370036952, ,2.94443897916644,E-service,Yes
Zone 2,38,35,Unmarried,5,76,High school degree,10,No,Male,3,Yes,Yes,Yes,Yes,6.05,45,50.1,23.25,64.9,239.55,1873.05,1820.9,880,2256.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.80005827204275,3.80666248977032,3.91402100809082,3.14630513203337,4.17284762371004,4.33073334028633,Total service,No
Zone 3,45,59,Married,7,166,College degree,31,No,Male,5,Yes,No,Yes,No,9.75,28.5,0,12,0,449.05,1240.15,0,505,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.27726728500976,3.3499040872746, ,2.484906649788, ,5.11198778835654,Plus service,No
Zone 1,68,41,Married,21,72,Did not complete high school,22,No,Male,3,No,No,Yes,No,24.15,0,0,16.5,0,1659.7,0,0,1155,0,Yes,No,No,No,No,No,No,No,No,3.18428438009858, , ,2.80336038090653, ,4.27666611901606,E-service,No
